City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,stanley,54.868,-1.6985,11.82,78,75,3.09,GB,1686216381
124,amga,60.8953,131.9608,21.18,47,81,1.72,RU,1686216567
125,houghton,47.1219,-88.569,8.71,73,0,3.09,US,1686216567
126,touros,-5.1989,-35.4608,24.39,87,25,4.06,BR,1686216568
127,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,44,40,3.0,RU,1686216569
128,anori,-3.7728,-61.6442,22.62,97,88,0.69,BR,1686216569
129,hawaiian paradise park,19.5933,-154.9731,21.73,95,75,1.54,US,1686216570
130,papao,-17.75,-149.55,22.82,67,70,10.53,PF,1686216571
131,varzelandia,-15.7014,-44.0275,14.45,85,5,2.7,BR,1686216571
132,umba,66.6871,34.3429,8.55,74,100,1.9,RU,1686216572
133,hermosillo,29.0667,-110.9667,23.8,49,0,0.45,MX,1686216467
134,ilulissat,69.2167,-51.1,-0.99,74,20,2.57,GL,1686216573
135,udachny,66.4167,112.4,15.25,41,74,2.47,RU,1686216574
136,saipan,15.1355,145.701,27.58,100,20,5.14,MP,1686216574
137,balabac,7.9868,117.0645,30.01,65,69,2.2,PH,1686216575
138,lake charles,30.2131,-93.2044,22.0,94,0,2.06,US,1686216575
139,banda aceh,5.5577,95.3222,30.72,64,100,7.54,ID,1686216576
140,sao gabriel da cachoeira,-0.1303,-67.0892,21.43,99,60,0.67,BR,1686216576
141,qamdo,31.1667,97.2333,16.64,24,59,1.07,CN,1686216577
142,khandyga,62.6667,135.6,20.72,44,100,3.45,RU,1686216577
143,kotabumi,-4.8333,104.9,24.21,95,100,1.09,ID,1686216578
144,nola,40.922,14.5329,26.47,65,76,1.69,IT,1686216578
145,maswa,-2.6833,33.9833,27.97,24,6,2.75,TZ,1686216579
146,pinarbasi,38.7229,36.3931,22.8,28,10,1.56,TR,1686216580
147,gazojak,41.1875,61.4036,36.29,21,90,8.64,TM,1686216580
148,isla mujeres,21.2311,-86.731,22.03,86,7,3.5,MX,1686216581
149,belyy yar,53.6039,91.3903,33.94,22,0,4.0,RU,1686216581
150,eyl,7.9803,49.8164,33.58,44,93,10.19,SO,1686216582
151,nouadhibou,20.931,-17.0347,22.99,94,100,5.66,MR,1686216582
152,la passe,45.5549,-0.8967,26.12,67,79,4.66,FR,1686216583
153,villa gesell,-37.2639,-56.973,12.81,93,82,4.01,AR,1686216583
154,simpang,-1.2667,104.0833,24.72,93,100,1.98,ID,1686216584
155,sola,-13.8833,167.55,25.37,94,100,3.09,VU,1686216355
156,fale old settlement,-9.3852,-171.2468,28.63,74,70,3.31,TK,1686216383
157,bousso,10.4795,16.7117,31.49,51,48,2.28,TD,1686216585
158,keflavik,64.0049,-22.5624,9.24,93,100,11.32,IS,1686216586
159,axim,4.8699,-2.2405,27.24,78,100,2.85,GH,1686216586
160,ancud,-41.8697,-73.8203,13.43,93,100,15.39,CL,1686216587
161,susuman,62.7833,148.1667,15.81,42,77,0.94,RU,1686216454
162,ad dawadimi,24.5077,44.3924,36.64,10,0,5.78,SA,1686216588
163,castillos,-34.1667,-53.8333,15.11,97,89,2.76,UY,1686216589
164,ontario,34.0633,-117.6509,16.25,88,0,1.54,US,1686216431
165,paracuru,-3.41,-39.0306,25.06,92,26,3.99,BR,1686216400
166,hasaki,35.7333,140.8333,23.45,78,100,4.81,JP,1686216590
167,kayyerkan,69.3786,87.7439,9.61,66,100,3.66,RU,1686216591
168,tumayr,25.7039,45.868,39.64,9,0,6.13,SA,1686216591
169,longyearbyen,78.2186,15.6401,5.91,52,20,8.75,SJ,1686216592
170,enewetak,11.3474,162.3373,27.88,81,99,7.14,MH,1686216592
171,tabou,4.423,-7.3528,27.26,80,96,2.44,CI,1686216593
172,bandarbeyla,9.4942,50.8122,33.86,47,99,9.32,SO,1686216594
173,kingston,17.997,-76.7936,27.53,89,20,5.14,JM,1686216474
174,kiruna,67.8557,20.2251,3.51,81,100,5.14,SE,1686216595
175,al ghayzah,16.2079,52.176,32.98,53,77,4.99,YE,1686216596
176,rawson,-43.3002,-65.1023,16.72,44,80,12.12,AR,1686216377
177,port mathurin,-19.6833,63.4167,25.05,69,1,7.32,MU,1686216597
178,shingu,33.7333,135.9833,17.38,97,100,0.58,JP,1686216598
179,el colorado,-26.3081,-59.3729,15.9,87,14,2.51,AR,1686216598
180,smithers,54.7804,-127.1743,10.18,87,0,0.0,CA,1686216599
181,sinabang,2.4803,96.3801,29.77,65,75,1.12,ID,1686216599
182,rio grande,-32.035,-52.0986,17.3,92,67,3.06,BR,1686216600
183,cadale,2.7603,46.3222,28.36,73,99,7.64,SO,1686216325
184,salekhard,66.53,66.6019,10.34,48,100,3.26,RU,1686216601
185,aberdeen,57.1437,-2.0981,13.27,72,75,3.6,GB,1686216408
186,belyayevka,51.3974,56.4096,20.21,48,61,2.8,RU,1686216602
187,palikir - national government center,6.9248,158.1611,27.47,100,75,1.54,FM,1686216604
188,suomussalmi,64.8869,28.9078,10.74,70,98,2.66,FI,1686216605
189,uturoa,-16.7333,-151.4333,26.5,62,79,9.74,PF,1686216606
190,san mariano,7.5,126.0,24.37,92,51,0.79,PH,1686216606
191,kodiak,57.79,-152.4072,8.73,87,100,7.72,US,1686216607
192,ad dabbah,18.05,30.95,40.02,21,90,3.46,SD,1686216607
193,ola,59.5833,151.2833,16.19,77,4,2.32,RU,1686216608
194,puerto deseado,-47.7503,-65.8938,8.8,72,100,4.41,AR,1686216609
195,tame,6.461,-71.73,21.33,91,45,1.58,CO,1686216609
196,troitsko-pechorsk,62.7084,56.1964,11.47,37,100,3.32,RU,1686216610
197,cassia,-20.5831,-46.9219,11.39,83,0,0.53,BR,1686216610
198,colwyn bay,53.2948,-3.7267,15.92,37,30,4.47,GB,1686216611
199,prieska,-29.6641,22.7474,15.64,46,3,8.19,ZA,1686216612
200,mhamid,29.82,-5.72,31.23,35,90,9.55,MA,1686216612
201,chibougamau,49.9168,-74.3659,7.79,81,75,4.12,CA,1686216613
202,balykshi,47.0667,51.8667,26.0,22,40,4.0,KZ,1686216613
203,alice springs,-23.7,133.8833,13.75,44,0,3.09,AU,1686216614
204,kokkola,63.8385,23.1307,12.09,58,20,4.12,FI,1686216615
205,mili,6.0815,171.735,28.5,80,30,8.32,MH,1686216616
206,sequeira,40.5536,-7.2259,16.2,69,82,6.99,PT,1686216617
207,chinde,26.8418,88.0763,29.8,39,65,2.15,NP,1686216617
208,st. john's,47.5649,-52.7093,10.15,98,100,2.06,CA,1686216607
209,buka,40.8108,69.1986,40.56,8,8,2.85,UZ,1686216618
210,gunnedah,-30.9833,150.25,11.76,96,76,2.15,AU,1686216619
211,happy valley-goose bay,53.3168,-60.3315,4.17,93,100,7.2,CA,1686216493
212,avarua,-21.2078,-159.775,23.03,94,75,4.63,CK,1686216620
213,vadso,70.0744,29.7487,7.49,61,75,7.72,NO,1686216621
214,east london,-33.0153,27.9116,21.52,43,0,2.06,ZA,1686216436
215,nadi,-17.8,177.4167,21.0,100,75,1.54,FJ,1686216622
216,micheweni,-4.9667,39.8333,25.85,81,34,7.39,TZ,1686216622
217,minas de barroteran,27.6333,-101.2833,22.78,80,38,2.36,MX,1686216623
218,kruisfontein,-34.0033,24.7314,20.49,39,15,3.58,ZA,1686216623
219,gizo,-8.103,156.8419,27.94,78,30,5.13,SB,1686216624
220,dudinka,69.4058,86.1778,9.79,45,97,3.72,RU,1686216625
221,yellowknife,62.456,-114.3525,9.29,87,40,6.17,CA,1686216375
222,claveria,18.6074,121.0832,29.39,75,4,4.16,PH,1686216626
223,kotka,60.4664,26.9458,15.18,47,50,6.08,FI,1686216626
224,talavera,15.6167,120.9333,28.29,80,95,3.23,PH,1686216627
225,wuyang,31.9925,116.2472,31.28,50,100,1.92,CN,1686216627
226,cabedelo,-6.9811,-34.8339,24.37,90,31,2.85,BR,1686216628
227,jinghong,21.991,100.7341,29.7,82,34,0.8,CN,1686216628
228,siddipet,18.1,78.85,39.98,19,100,5.49,IN,1686216629
229,veinticinco de mayo,-35.4323,-60.1727,14.99,97,100,0.45,AR,1686216629
230,flying fish cove,-10.4217,105.6791,25.82,88,100,5.14,CX,1686216630
231,margate,51.3813,1.3862,16.06,75,2,5.36,GB,1686216543
232,sitka,57.0531,-135.33,12.94,76,75,0.0,US,1686216631
233,auki,-8.7676,160.7034,27.61,74,10,1.8,SB,1686216632
234,lazaro cardenas,17.9583,-102.2,25.64,79,97,2.49,MX,1686216633
235,korla,41.7597,86.1469,33.14,12,100,3.83,CN,1686216633
236,abong mbang,3.9833,13.1833,23.42,88,98,1.3,CM,1686216634
237,scottburgh,-30.2867,30.7532,22.92,62,1,3.33,ZA,1686216635
238,san ignacio,17.1561,-89.0714,25.08,94,0,0.0,BZ,1686216636
239,port maria,18.3685,-76.8895,27.98,96,100,2.69,JM,1686216636
240,taro,-8.3862,115.28,24.0,97,96,1.11,ID,1686216637
241,swakopmund,-22.6833,14.5333,18.47,78,0,0.89,NA,1686216637
242,ust'-kalmanka,52.1207,83.305,32.58,31,53,3.58,RU,1686216638
243,hami,42.8,93.45,38.85,5,22,4.9,CN,1686216638
244,kapuskasing,49.4169,-82.4331,6.05,75,75,2.57,CA,1686216639
245,sebastian,35.1668,-94.2669,20.31,80,64,2.25,US,1686216640
246,monchegorsk,67.9397,32.8739,7.88,55,100,4.68,RU,1686216640
247,mounana,-1.4085,13.1586,25.95,83,88,1.34,GA,1686216641
248,carnarvon,-24.8667,113.6333,19.95,56,0,8.3,AU,1686216641
249,sarkhej,22.9833,72.5,37.07,39,0,2.57,IN,1686216642
250,kasane,-17.8167,25.15,26.05,41,0,3.09,BW,1686216643
251,ponta delgada,37.7333,-25.6667,18.4,82,75,6.17,PT,1686216633
252,kargil,34.5667,76.1,12.87,38,100,3.7,IN,1686216644
253,kargasok,59.0556,80.8572,32.22,32,99,6.15,RU,1686216644
254,eureka,40.8021,-124.1637,15.41,94,100,0.45,US,1686216645
255,novyy urgal,51.0736,132.5642,13.95,97,100,1.12,RU,1686216645
